entity,name,prefix,reference,description,notes,entry-date,start-date,end-date
2950000,Plan adopted,local-plan-event,plan-adopted,"The date the plan is adopted, and becomes the development  plan to use in decision making within the planning  authority",,2024-10-23,,
2950001,Planning inspectorate report published,local-plan-event,inspector-report-published,"The date the Inspectors Report, that includes  recommendations and reasoning, is published",PINs should provide this event.,2024-10-23,,
2950002,Submit plan for examination,local-plan-event,submit-plan-for-examination,The date the Local Plan is submitted to the Planning  Inspectorate (PINS) for examination.,Planning authorities are expected to provide this event,2024-10-23,,
2950003,Planning inspectorate examination start,local-plan-event,planning-inspectorate-examination-start,Date the Planning Inspectorate start their  examination.,Ideally the planning inspectorate would be able to provide this event data.,2024-10-23,,
2950004,Planning inspectorate examination end,local-plan-event,planning-inspectorate-examination-end,The date the examination finished.,Ideally the planning inspectorate would be able to provide this event data,2024-10-23,,
2950005,Planning inspectorate found sound,local-plan-event,planning-inspectorate-found-sound,The date the planning inspectorate found the plan  to be sound.,Ideally the planning inspectorate would provide this event data,2024-10-23,,
2950006,Local development scheme published,local-plan-event,timetable-published,The date the local development scheme (LDS) was published. The LDS sets out the timescale for the adoption of development plan documents,LPAs are expected to provide this event.,2024-10-23,,
2950007,Estimated submit plan for examination,local-plan-event,estimated-submit-plan-for-examination,,,2024-10-23,,
2950008,Regulation 18 draft local plan published,local-plan-event,reg-18-draft-local-plan-published,The date a Draft Local Plan is published prior to the  beginning of the consultation period.,Planning authorities should provide this event,2024-10-23,,
2950009,Regulation 18 public consultation start,local-plan-event,reg-18-public-consultation-start,"The date a regulation 18 public consultation starts.  Relevant organisations are invited to make  representations, and the consultation opens to the  public",Planning authorities are expected to provide this event,2024-10-23,,
2950010,Regulation 18 public consultation end,local-plan-event,reg-18-public-consultation-end,The end of the Regulation 18 consultation period.,Planning authorities are expected to provide this event,2024-10-23,,
2950011,Regulation 19 publication local plan published,local-plan-event,reg-19-publication-local-plan-published,The date the publication Local Plan is published.  This is the plan the planning authority intends to  submit for examination,Planning authorities are expected to provide this event,2024-10-23,,
2950012,Regulation 19 public consultation start,local-plan-event,reg-19-public-consultation-start,"The start of a regulation 19 public consultation.  During reg 19, representations are sought in relation  to the Local Plan's soundness and legal compliance",Planning authorities are expected to provide this event,2024-10-23,,
2950013,Regulation 19 public consultation end,local-plan-event,reg-19-public-consultation-end,The end of the Regulation 19 consultation period.,Planning authorities are expected to provied this event,2024-10-23,,
2950014,Estimated date regulation 18 draft local plan published,local-plan-event,estimated-reg-18-draft-local-plan-published,An estimated date for when the regulation 18 draft local plan will be published,,2024-10-23,,
2950015,Estimated regulation 18 public consultation end,local-plan-event,estimated-reg-18-public-consultation-end,An estimated date for when the regulation 18 public consultation will end,,2024-10-23,,
2950016,Estimated regulation 19 public consultation start,local-plan-event,estimated-reg-19-public-consultation-start,An estimated date for when the regulation 19 public consultation will start,,2024-10-23,,
2950017,Estimated regulation 19 public consultation end,local-plan-event,estimated-reg-19-public-consultation-end,An estimated date for when the regulation 19 public consultation will end,,2024-10-23,,
2950018,Estimated regulation 18 public consultation start,local-plan-event,estimated-reg-18-public-consultation-start,An estimated date for when the regulation 18 public consultation will start,,2024-10-23,,
2950019,Estimated date regulation 19 publication local plan published,local-plan-event,estimated-reg-19-publication-local-plan-published,An estimated date for when the publication local plan for regulation 19 will be published,,2024-10-23,,
2950020,Estimated plan adoption date,local-plan-event,estimated-plan-adoption-date,The target date for adoption of the plan,Planning authorities are expected to provide this forecast,2024-10-23,,
2950021,Plan withdrawn,local-plan-event,plan-withdrawn,The emerging local plan has been withdrawn.,,2024-11-21,,
